company	legal_name	status	batch
Cartage	Cartage AI Inc.	Active	S24
Anthrogen	Arctic Capture Inc.	Active	S24
True3D Labs	True3D Technologies Inc	Active	W21
Zeropath	Zeropath Corp.	Active	S24
Ligo Biosciences	Ligo Biosceinces Corp,	Active	S24
Maitai	Maitai Inc.	Active	S24
Stack Auth	Stackframe Inc	Active	S24
Biocartesian	Coordna Bio Inc	Active	S24
Deepsilicon	Deepsilicon Corp.	Dead	S24
Parahelp	Copilot Labs Inc	Active	S24
Gauge	Gauge Technologies Inc.	Active	S24
Archil	Regatta Storage Inc.	Active	F24
Crustdata	Crustdata Technologies Inc.	Active	F24
Sunset	Sunset Software Inc	Active	F24
Friday	Friday Inc	Active	F24
Gecko Security	Gecko Security Inc	Active	F24
Maritime Fusion	Maritime Fusion Inc	Active	W25
Mastra	Kepler Software Inc	Active	W25
Mentra	Mentra Labs Inc	Active	W25
Revise Robotics	Revise Robotics Inc.	Active	W25
Haleum	Pysion Works Inc	Active	W25
Bindwell	Bindwell Inc	Active	W25
Edexia	Edexia Inc	Active	W25
Enhanced Radar	Enhanced Radar Corporation	Active	W25
Auricle	Auricle Health Inc.	Active	W21
Osmosis	Gulp AI Inc.	Active	W25
Subtrace	Subtrace, Inc.	Active	W25
Leaping AI	Leaping AI Inc.	Active	W25
Vesence	Versenium, Inc.	Active	X25
Sim	Sim Studio	Active	X25
RunRL	RunRL, Inc.	Active	X25
Human Behavior	Make Dough, Inc.	Active	X25
Partcl	Partcl, Inc.	Active	X25
QFEX	QFEX Holdings, Inc.	Active	X25
SalesPatriot	Salespatriot, Inc.	Active	W25
YouLearn	Youlearn Inc.	Active	X25
Tinfoil	Tinfoil, Inc.	Active	X25
Atum Works	Atum Works Inc.	Active	X25
Casco	Transmittr, Inc.	Active	X25
Novoflow	Novoflow, Inc.	Active	X25
Pollen	Daymi, Inc.	Active	W26
Design Arena	Arcada Labs Incorporated	Active	S25
Janet	Janet AI, Inc.	Active	S25
Nuntius	Nuntius, Inc.	Dead	S25
Autosana	Autosana, Inc.	Active	S25
Relling	Relling Corp.	Active	S25
Solva	Solva Technology Inc	Active	S25
Nozomio	Nozomio Inc.	Active	S25
GETASAP	Blaze Market Incorporated	Active	S25
Juxta	Juxta Technology, Inc.	Active	S25
BootLoop	BootLoop Inc.	Active	S25
Orange Slice	Orange Slice AI, Inc.	Active	S25
Channel 3	Channel3, Inc.	Active	S25
Luminal	Luminal AI, Inc.	Active	S25
Proliferate	Keystone Automation Inc.	Active	S25
Monarcha	Monarcha, Inc.	Active	S25
Pingo	Pingo AI, Inc.	Active	S25
Perseus	Perseus Defense, Inc.	Active	S25
Kopra	Kopra Bio, Inc.	Active	S25
Autumn	Recase, Inc.	Active	S25
Opennote	Opennote, Inc.	Active	S25
Slashy	Karvix, Inc.	Active	S25
DeepGrove	DeepGrove	Active	S25
Stellon Labs	Stellon Labs INC.	Active	S25
Hillclimb	Plun, Inc.	Active	F25
Selfin	Selfin Inc	Active	F25
Structured AI	Structured Software Inc	Active	F25
Piggy Robotics	Rigmanic inc	Active	S24
Multifactor	Multifactor Inc	Active	F25
Icarus	Ikaros Industries Inc	Active	F25
Nexus	Nexus Enterprise Inc	Active	F25
Veria Labs	Veria Labs, Inc.	Active	F25
SF Tensor	San Francisco Tensor Company	Active	F25
Iris	Minro.inc	Active	F25
Prox	Dart Labs Inc	Active	F25
Locus	Locus Technologies Inc	Active	F25
Sorce	redantai, Inc.	Active	F25
Dome	Dome API Inc.	Active	F25
Wardstone	Wardstone Inc.	Active	F25
Zavo	Zavo Inc	Active	F25
Crunched	Crunched Inc	Active	F25
Milliray		Active	W26
Luel	Luel	Active	W26
o11	O11 Inc.	Active	W26
Carrot Labs	Carrot Labs AI, Inc.	Active	W26
Aemon	Omnial AI, Inc	Active	W26
Autumn AI	Autumn AI, Inc.	Active	W26
Pax Historia	Pax Historia, Co.	Active	W26
GrazeMate		Active	W26
Hex Security	Anytool, Inc.	Active	W26
Byteport	Byteport, Inc	Active	W26
Fixture	Fixture, Inc.	Active	W26
Confluence Labs	Confluence Labs, Inc.	Active	W26
General Astronautics	General Astronautics Corp	Active	W26
Piris Labs	Piris Labs Inc.	Acive	W26
Wayco	Wayco AI, Inc.	Active	W26
Forum	Forum Markets Group Inc.,	Active	W26
Prana		Active	W26
Ashr		Active	W26
Origami Robotics		Active	W26
